ReferenceID,X,Y,Width,Height
kidney_esaote,362.5348,407.5080,328.3048,209.8752
thigh_esaote,155.7500,316.2500,361.5000,246.0000
kidney_telemed,422.5233,373.0499,350.8116,269.8551
thigh_telemed,280.2500,329.7500,345.0000,249.0000
